
2023/02/04 (19:32:03) | ===> btop++ v.1.2.13
2023/02/04 (19:32:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/04 (19:32:37) | ===> btop++ v.1.2.13
2023/02/04 (19:32:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/04 (19:38:26) | ===> btop++ v.1.2.13
2023/02/04 (19:38:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/04 (19:42:29) | ===> btop++ v.1.2.13
2023/02/04 (19:42:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/04 (19:43:11) | ===> btop++ v.1.2.13
2023/02/04 (19:43:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/07 (22:26:47) | ===> btop++ v.1.2.13
2023/02/07 (22:26:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
